data_size,model_size,train_loss,eval_loss,compute
89472,1.414213562,0.040743824,0.070486056,178944
102272,1.414213562,0.07042928,0.084893261,204544
115072,1.414213562,0.054927967,0.092123011,230144
127872,1.414213562,0.037436225,0.088803449,255744
140672,1.414213562,0.061298404,0.060962814,281344
153472,1.414213562,0.050705694,0.061734961,306944
166272,1.414213562,0.09805654,0.060730576,332544
179072,1.414213562,0.038434755,0.054336153,358144
191872,1.414213562,0.086828746,0.05331994,383744
204672,1.414213562,0.07383626,0.087466073,409344
217472,1.414213562,0.033886831,0.060005236,434944
230272,1.414213562,0.10155616,0.058501213,460544
243072,1.414213562,0.077915005,0.054906909,486144
255872,1.414213562,0.04569472,0.052056359,511744
268672,1.414213562,0.050167713,0.053549063,537344
281472,1.414213562,0.013794354,0.05659043,562944
294272,1.414213562,0.039316472,0.055251791,588544
307072,1.414213562,0.08541736,0.059407905,614144
319872,1.414213562,0.062713236,0.055583459,639744
332672,1.414213562,0.059023429,0.055063003,665344
345472,1.414213562,0.003957126,0.046032975,690944
358272,1.414213562,0.071982615,0.049198809,716544
371072,1.414213562,0.017898299,0.05551198,742144
383872,1.414213562,0.060410123,0.053138084,767744
396672,1.414213562,0.036856305,0.055231868,793344
409472,1.414213562,0.046674155,0.047287106,818944
422272,1.414213562,0.029927567,0.053511336,844544
435072,1.414213562,0.007649928,0.069316688,870144
447872,1.414213562,0.022946049,0.047067163,895744
460672,1.414213562,0.00695209,0.052135657,921344
473472,1.414213562,0.008710078,0.051547507,946944
486272,1.414213562,0.065367021,0.044030193,972544
499072,1.414213562,0.046529125,0.05142564,998144
511872,1.414213562,0.003745979,0.053701228,1023744
524672,1.414213562,0.046503205,0.047519133,1049344
537472,1.414213562,0.051916298,0.052121731,1074944
550272,1.414213562,0.104600839,0.053423474,1100544
563072,1.414213562,0.130199701,0.052056616,1126144
575872,1.414213562,0.031152092,0.050844936,1151744
588672,1.414213562,0.042170227,0.049056259,1177344
601472,1.414213562,0.088558994,0.046932433,1202944
614272,1.414213562,0.0198333,0.055415263,1228544
627072,1.414213562,0.003548454,0.049253412,1254144
639872,1.414213562,0.018074404,0.050450969,1279744
652672,1.414213562,0.011406075,0.055778721,1305344
665472,1.414213562,0.003769177,0.053500268,1330944
678272,1.414213562,0.005544032,0.056170526,1356544
691072,1.414213562,0.017834818,0.0447457,1382144
703872,1.414213562,0.021814981,0.050903231,1407744
716672,1.414213562,0.002290561,0.048375515,1433344
729472,1.414213562,0.031430166,0.049353491,1458944
742272,1.414213562,0.029966256,0.046325098,1484544
755072,1.414213562,0.003334553,0.053015789,1510144
767872,1.414213562,0.0448884,0.049870261,1535744
780672,1.414213562,0.009131826,0.04918922,1561344
793472,1.414213562,0.036312032,0.050816919,1586944
806272,1.414213562,0.008662131,0.050824719,1612544
819072,1.414213562,0.012621555,0.057665736,1638144
831872,1.414213562,0.034916926,0.047991408,1663744
844672,1.414213562,0.042080723,0.055664779,1689344
857472,1.414213562,0.035041168,0.047756395,1714944
870272,1.414213562,0.0090579,0.050337403,1740544
883072,1.414213562,0.018565392,0.052863317,1766144
895872,1.414213562,0.023354191,0.056088296,1791744
908672,1.414213562,0.039932128,0.049907331,1817344
921472,1.414213562,0.00749294,0.049443858,1842944
934272,1.414213562,0.006531252,0.050064046,1868544
947072,1.414213562,0.038318973,0.045899508,1894144
959872,1.414213562,0.009453126,0.049830056,1919744
972672,1.414213562,0.017238539,0.042384723,1945344
985472,1.414213562,0.044272076,0.043991594,1970944
998272,1.414213562,0.003480015,0.058811059,1996544
1011072,1.414213562,0.027380366,0.046341151,2022144
1023872,1.414213562,0.074511364,0.047420829,2047744
1036672,1.414213562,0.072653554,0.048661932,2073344
1049472,1.414213562,0.027250092,0.050297393,2098944
1062272,1.414213562,0.020547573,0.043057542,2124544
1075072,1.414213562,0.060736094,0.049044826,2150144
1087872,1.414213562,0.041855898,0.048184083,2175744
1100672,1.414213562,0.003289078,0.054907227,2201344
1113472,1.414213562,0.015001685,0.056983968,2226944
1126272,1.414213562,0.002222287,0.05021532,2252544
1139072,1.414213562,0.050406311,0.053110613,2278144
1151872,1.414213562,0.003173112,0.046673569,2303744
1164672,1.414213562,0.074965954,0.052776967,2329344
1177472,1.414213562,0.079268239,0.048573053,2354944
1190272,1.414213562,0.008456456,0.049780432,2380544
1203072,1.414213562,0.008420838,0.052799796,2406144
1215872,1.414213562,0.101346105,0.053457198,2431744
1228672,1.414213562,0.005172309,0.052560362,2457344
1241472,1.414213562,0.023025723,0.047481572,2482944
1254272,1.414213562,0.0237149,0.051299641,2508544
1267072,1.414213562,0.022547767,0.047363216,2534144
1279872,1.414213562,0.016141606,0.056659752,2559744
1292672,1.414213562,0.029786279,0.045964383,2585344
1305472,1.414213562,0.0336367,0.054847502,2610944
1318272,1.414213562,0.023097986,0.047987755,2636544
1331072,1.414213562,0.011501053,0.045827922,2662144
1343872,1.414213562,0.033670727,0.050268467,2687744
1356672,1.414213562,0.012883164,0.051496797,2713344
1369472,1.414213562,0.080799885,0.04526181,2738944
1382272,1.414213562,0.032526314,0.044992404,2764544
1395072,1.414213562,0.019607173,0.054029087,2790144
1407872,1.414213562,0.066502899,0.051534095,2815744
1420672,1.414213562,0.011236146,0.051938572,2841344
1433472,1.414213562,0.052709367,0.048992573,2866944
1446272,1.414213562,0.010672262,0.043794966,2892544
1459072,1.414213562,0.075431012,0.04896267,2918144
1471872,1.414213562,0.032228772,0.047783353,2943744
1484672,1.414213562,0.05509726,0.053643042,2969344
1497472,1.414213562,0.008939345,0.049928151,2994944
1510272,1.414213562,0.008293123,0.051844623,3020544
1523072,1.414213562,0.017931318,0.052114118,3046144
1535872,1.414213562,0.027292047,0.050905021,3071744
1548672,1.414213562,0.025445981,0.046513696,3097344
1561472,1.414213562,0.001724191,0.045860859,3122944
1574272,1.414213562,0.029662045,0.052143101,3148544
1587072,1.414213562,0.021057682,0.056724822,3174144
1599872,1.414213562,0.044664197,0.05028165,3199744
1612672,1.414213562,0.024683151,0.048732457,3225344
1625472,1.414213562,0.003133477,0.047121354,3250944
1638272,1.414213562,0.034741018,0.046792529,3276544
1651072,1.414213562,0.018102834,0.050610925,3302144
1663872,1.414213562,0.067784838,0.048745656,3327744
1676672,1.414213562,0.005701184,0.046358891,3353344
1689472,1.414213562,0.019775014,0.045496387,3378944
1702272,1.414213562,0.003796358,0.046344643,3404544
1715072,1.414213562,0.003111046,0.052151299,3430144
1727872,1.414213562,0.004255541,0.0512606,3455744
1740672,1.414213562,0.018989006,0.054520214,3481344
1753472,1.414213562,0.000490269,0.05136485,3506944
1766272,1.414213562,0.099562295,0.050755763,3532544
1779072,1.414213562,0.004038975,0.059319356,3558144
1791872,1.414213562,0.012600915,0.051029872,3583744
1804672,1.414213562,0.022880681,0.049046428,3609344
1817472,1.414213562,0.007269035,0.052293742,3634944
1830272,1.414213562,0.010707729,0.04847113,3660544
1843072,1.414213562,0.026191024,0.047403117,3686144
1855872,1.414213562,0.015693665,0.049895011,3711744
1868672,1.414213562,0.010243027,0.049728567,3737344
1881472,1.414213562,0.003199121,0.051384687,3762944
1894272,1.414213562,0.008404778,0.053178929,3788544
1907072,1.414213562,0.003120237,0.05566214,3814144
1919872,1.414213562,0.034039285,0.05053631,3839744
12672,2,0.142488569,0.135480952,50688
25472,2,0.06040699,0.107713568,101888
38272,2,0.132028893,0.10627115,153088
51072,2,0.013060138,0.08066243,204288
63872,2,0.124878451,0.077202373,255488
76672,2,0.08801569,0.09505919,306688
89472,2,0.156913951,0.064724924,357888
102272,2,0.050089605,0.069704107,409088
115072,2,0.070850432,0.061719877,460288
127872,2,0.02977572,0.069104496,511488
140672,2,0.043047283,0.06732049,562688
153472,2,0.159821749,0.054238055,613888
166272,2,0.056589149,0.059767272,665088
179072,2,0.112131402,0.054953061,716288
191872,2,0.026385948,0.04812013,767488
204672,2,0.024963809,0.047199353,818688
217472,2,0.080126636,0.047743552,869888
230272,2,0.067109086,0.048383048,921088
243072,2,0.090004936,0.046058591,972288
255872,2,0.065969832,0.050441957,1023488
268672,2,0.050711509,0.043756833,1074688
281472,2,0.004012089,0.047802308,1125888
294272,2,0.037917301,0.044144615,1177088
307072,2,0.071596168,0.044718349,1228288
319872,2,0.063426986,0.043390076,1279488
332672,2,0.019736795,0.054412007,1330688
345472,2,0.07882949,0.046510899,1381888
358272,2,0.041302934,0.053635951,1433088
371072,2,0.013081256,0.049458374,1484288
383872,2,0.050947782,0.050961307,1535488
396672,2,0.019783698,0.048002975,1586688
409472,2,0.049118392,0.046152653,1637888
422272,2,0.021514693,0.045355776,1689088
435072,2,0.027581641,0.045048006,1740288
447872,2,0.018779365,0.048548443,1791488
460672,2,0.012453406,0.044525792,1842688
473472,2,0.016992074,0.044619148,1893888
486272,2,0.054336675,0.045713722,1945088
499072,2,0.001070618,0.047595848,1996288
511872,2,0.012341859,0.05006965,2047488
524672,2,0.068951525,0.038993818,2098688
537472,2,0.003232483,0.047586065,2149888
550272,2,0.039002847,0.053555688,2201088
563072,2,0.003718468,0.043477134,2252288
575872,2,0.009075996,0.046059206,2303488
588672,2,0.047434241,0.049907843,2354688
601472,2,0.0136196,0.039801759,2405888
614272,2,0.006409605,0.044436536,2457088
627072,2,0.032227796,0.043417476,2508288
639872,2,0.079065591,0.047647044,2559488
652672,2,0.003643481,0.045178576,2610688
665472,2,0.028930761,0.040691388,2661888
678272,2,0.020395173,0.044913436,2713088
691072,2,0.012667346,0.054799936,2764288
703872,2,0.072341971,0.040856238,2815488
716672,2,0.003364273,0.040678638,2866688
729472,2,0.005090117,0.044994993,2917888
742272,2,0.00209102,0.049823001,2969088
755072,2,0.027393969,0.046623849,3020288
767872,2,0.064921625,0.044867278,3071488
