,data_size,model_size,eval_loss,compute
460,0.71,8.0,1.37,45.25
461,0.5,8.0,2.0,32.0
462,0.35,8.0,1.67,22.63
463,0.25,8.0,1.86,16.0
464,0.18,8.0,1.93,11.31
465,0.12,8.0,1.81,8.0
466,0.09,8.0,2.36,5.66
467,0.06,8.0,2.65,4.0
468,1.0,11.31,1.59,128.0
469,0.71,11.31,1.37,90.51
470,0.5,11.31,1.25,64.0
471,0.35,11.31,2.41,45.25
472,0.25,11.31,2.07,32.0
473,0.18,11.31,1.85,22.63
474,0.12,11.31,2.75,16.0
475,0.09,11.31,2.03,11.31
476,0.06,11.31,2.46,8.0
477,1.0,16.0,1.5,256.0
478,0.71,16.0,1.34,181.02
479,0.5,16.0,1.37,128.0
480,0.35,16.0,1.75,90.51
481,0.25,16.0,1.69,64.0
482,0.18,16.0,1.61,45.25
483,0.12,16.0,1.55,32.0
484,0.09,16.0,2.33,22.63
485,0.06,16.0,3.5,16.0
