,data_size,model_size,eval_loss,compute
643,0.25,16.0,12.72,64.0
644,0.18,16.0,12.9,45.25
645,0.12,16.0,20.76,32.0
646,0.09,16.0,54.78,22.63
647,0.06,16.0,97.52,16.0
648,1.0,1.0,16.55,1.0
649,0.71,1.0,19.21,0.71
650,0.5,1.0,24.19,0.5
651,0.35,1.0,18.36,0.35
652,0.25,1.0,17.94,0.25
653,0.18,1.0,29.22,0.18
654,0.12,1.0,38.39,0.12
655,0.09,1.0,34.44,0.09
656,0.06,1.0,77.08,0.06
657,1.0,1.41,14.21,2.0
658,0.71,1.41,11.38,1.41
659,0.5,1.41,14.73,1.0
660,0.35,1.41,23.4,0.71
661,0.25,1.41,16.2,0.5
662,0.18,1.41,22.15,0.35
663,0.12,1.41,27.93,0.25
664,0.09,1.41,33.14,0.18
665,0.06,1.41,59.34,0.12
666,1.0,2.0,10.68,4.0
667,0.71,2.0,14.45,2.83
668,0.5,2.0,11.73,2.0
669,0.35,2.0,11.73,1.41
670,0.25,2.0,19.86,1.0
671,0.18,2.0,23.11,0.71
672,0.12,2.0,20.96,0.5
673,0.09,2.0,26.16,0.35
674,0.06,2.0,48.51,0.25
675,1.0,2.83,10.12,8.0
676,0.71,2.83,10.93,5.66
677,0.5,2.83,15.99,4.0
678,0.35,2.83,15.83,2.83
679,0.25,2.83,15.34,2.0
680,0.18,2.83,19.0,1.41
681,0.12,2.83,29.19,1.0
682,0.09,2.83,31.51,0.71
683,0.06,2.83,71.34,0.5
684,1.0,4.0,6.55,16.0
685,0.71,4.0,9.52,11.31
686,0.5,4.0,13.01,8.0
687,0.35,4.0,12.93,5.66
688,0.25,4.0,12.73,4.0
689,0.18,4.0,12.59,2.83
690,0.12,4.0,17.42,2.0
691,0.09,4.0,49.35,1.41
692,0.06,4.0,44.62,1.0
693,1.0,5.66,11.48,32.0
694,0.71,5.66,10.28,22.63
695,0.5,5.66,11.06,16.0
696,0.35,5.66,11.29,11.31
697,0.25,5.66,14.25,8.0
698,0.18,5.66,16.22,5.66
699,0.12,5.66,23.94,4.0
700,0.09,5.66,61.92,2.83
701,0.06,5.66,64.69,2.0
702,1.0,8.0,9.32,64.0
703,0.71,8.0,10.05,45.25
704,0.5,8.0,11.86,32.0
705,0.35,8.0,10.51,22.63
706,0.25,8.0,14.85,16.0
707,0.18,8.0,14.83,11.31
708,0.12,8.0,29.46,8.0
709,0.09,8.0,103.06,5.66
710,0.06,8.0,156.16,4.0
711,1.0,11.31,13.31,128.0
712,0.71,11.31,10.75,90.51
713,0.5,11.31,9.62,64.0
714,0.35,11.31,15.07,45.25
715,0.25,11.31,12.48,32.0
716,0.18,11.31,13.89,22.63
717,0.12,11.31,17.65,16.0
