,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
110,524672,1.0,0.144923612,0.072412325,67158016.0,0.060584278,0.005780931,1.0
111,537472,1.0,0.100414425,0.089296188,68796416.0,0.060584278,0.005780931,1.0
112,550272,1.0,0.066415593,0.07504478,70434816.0,0.060584278,0.005780931,1.0
113,563072,1.0,0.062597446,0.073713797,72073216.0,0.060584278,0.005780931,1.0
114,575872,1.0,0.050127611,0.080020089,73711616.0,0.060584278,0.005780931,1.0
115,588672,1.0,0.046283703,0.097113454,75350016.0,0.060584278,0.005780931,1.0
116,601472,1.0,0.081001528,0.075687113,76988416.0,0.060584278,0.005780931,1.0
117,614272,1.0,0.22857812,0.075699582,78626816.0,0.060584278,0.005780931,1.0
118,627072,1.0,0.047710545,0.076209872,80265216.0,0.060584278,0.005780931,1.0
119,639872,1.0,0.086672604,0.071411469,81903616.0,0.060584278,0.005780931,1.0
120,652672,1.0,0.062424392,0.087333229,83542016.0,0.060584278,0.005780931,1.0
121,665472,1.0,0.055474982,0.072479517,85180416.0,0.060584278,0.005780931,1.0
122,678272,1.0,0.049806595,0.07009994,86818816.0,0.060584278,0.005780931,1.0
123,691072,1.0,0.07610359,0.076000475,88457216.0,0.060584278,0.005780931,1.0
124,703872,1.0,0.015254723,0.075698833,90095616.0,0.060584278,0.005780931,1.0
125,716672,1.0,0.073778391,0.067741146,91734016.0,0.060584278,0.005780931,1.0
126,729472,1.0,0.018178917,0.080063277,93372416.0,0.060584278,0.005780931,1.0
127,742272,1.0,0.031268269,0.075422713,95010816.0,0.060584278,0.005780931,1.0
128,755072,1.0,0.031848736,0.079029888,96649216.0,0.060584278,0.005780931,1.0
129,767872,1.0,0.065663204,0.071520792,98287616.0,0.060584278,0.005780931,1.0
130,780672,1.0,0.123125069,0.078489045,99926016.0,0.060584278,0.005780931,1.0
131,793472,1.0,0.032198619,0.069943196,101564416.0,0.060584278,0.005780931,1.0
132,806272,1.0,0.093431979,0.074280475,103202816.0,0.060584278,0.005780931,1.0
133,819072,1.0,0.028091827,0.072750437,104841216.0,0.060584278,0.005780931,1.0
134,831872,1.0,0.097885616,0.075669219,106479616.0,0.060584278,0.005780931,1.0
135,844672,1.0,0.026646364,0.080561016,108118016.0,0.060584278,0.005780931,1.0
136,857472,1.0,0.068615861,0.077632564,109756416.0,0.060584278,0.005780931,1.0
137,870272,1.0,0.059297428,0.073936945,111394816.0,0.060584278,0.005780931,1.0
138,883072,1.0,0.092560232,0.068072433,113033216.0,0.060584278,0.005780931,1.0
139,895872,1.0,0.018376587,0.088241038,114671616.0,0.060584278,0.005780931,1.0
140,908672,1.0,0.007999369,0.074355055,116310016.0,0.060584278,0.005780931,1.0
141,921472,1.0,0.079656631,0.065498765,117948416.0,0.060584278,0.005780931,1.0
142,934272,1.0,0.112406723,0.068749318,119586816.0,0.060584278,0.005780931,1.0
143,947072,1.0,0.066636436,0.076875584,121225216.0,0.060584278,0.005780931,1.0
